date,energy
2019-08-09,284.376
2019-08-10,172.23
2019-08-11,208.787
2019-08-12,243.849
2019-08-13,259.345
2019-08-14,205.608
2019-08-15,382.201
2019-08-16,319.828
2019-08-17,219.06900000000002
2019-08-18,219.42
2019-08-19,160.045
2019-08-20,305.564
2019-08-21,373.331
2019-08-22,354.539
2019-08-23,220.446
2019-08-24,213.993
2019-08-25,239.927
2019-08-26,385.327
2019-08-27,342.836
2019-08-28,261.913
2019-08-29,198.658
2019-08-30,310.39799999999997
2019-08-31,329.907
2019-09-01,127.964
2019-09-02,197.41899999999998
2019-09-03,274.107
2019-09-04,317.567
2019-09-05,258.09499999999997
2019-09-06,340.079
2019-09-07,250.583
2019-09-08,177.126
2019-09-09,261.072
2019-09-10,232.24800000000002
2019-09-11,286.651
2019-09-12,238.041
2019-09-13,334.041
2019-09-14,287.439
2019-09-15,235.177
2019-09-16,328.35
2019-09-17,248.204
2019-09-18,294.743
2019-09-19,269.277
2019-09-20,323.681
2019-09-21,245.319
2019-09-22,200.543
2019-09-23,263.577
2019-09-24,202.838
2019-09-25,262.993
2019-09-26,251.481
2019-09-27,282.167
2019-09-28,124.22
2019-09-29,168.693
2019-09-30,212.774
2019-10-01,279.452
2019-10-02,318.797
2019-10-03,293.606
2019-10-04,339.769
2019-10-05,179.97
2019-10-06,181.464
2019-10-07,315.565
2019-10-08,162.498
2019-10-09,272.385
2019-10-10,145.965
2019-10-11,387.229
2019-10-12,382.694
2019-10-13,278.79
2019-10-14,289.846
2019-10-15,233.129
2019-10-16,239.12900000000002
2019-10-17,190.166
2019-10-18,317.972
2019-10-19,263.995
2019-10-20,152.63
2019-10-21,324.595
2019-10-22,284.784
2019-10-23,359.682
2019-10-24,276.969
2019-10-25,264.058
2019-10-26,253.938
2019-10-27,146.237
2019-10-28,205.305
2019-10-29,96.83099999999999
2019-10-30,233.928
2019-10-31,295.137
2019-11-01,507.373
2019-11-02,195.862
2019-11-03,185.626
2019-11-04,407.59499999999997
2019-11-05,322.148
2019-11-06,409.447
2019-11-07,323.17199999999997
2019-11-08,381.354
2019-11-09,249.062
2019-11-10,251.912
2019-11-11,116.48400000000001
2019-11-12,332.355
2019-11-13,189.252
2019-11-14,280.073
2019-11-15,309.79200000000003
2019-11-16,127.559
2019-11-17,119.822
2019-11-18,305.476
2019-11-19,315.546
2019-11-20,263.415
2019-11-21,278.403
2019-11-22,423.631
2019-11-23,315.26800000000003
2019-11-24,196.155
2019-11-25,232.897
2019-11-26,16.875
2019-11-27,185.12199999999999
2019-11-28,22.235999999999997
2019-11-29,204.732
2019-11-30,79.53
2019-12-01,229.573
2019-12-02,219.025
2019-12-03,243.56
2019-12-04,333.03700000000003
2019-12-05,234.39600000000002
2019-12-06,352.043
2019-12-07,292.255
2019-12-08,140.558
2019-12-09,285.978
2019-12-10,303.654
2019-12-11,375.509
2019-12-12,308.80400000000003
